Mach,eta,covered,selected_chart,selected_status,selected_role,n_candidates
0.5,0.95,True,NEUTRAL3_HIM,validated,near_neutral_limit_mid_high_mach,1
0.5,0.975,True,NEUTRAL3_HIM,validated,near_neutral_limit_mid_high_mach,1
0.55,0.05,True,VLOW_EXTREME_CI_ONLY,ci_only,very_low_eta_ci_only_gep_required,1
0.55,0.075,True,VLOW_EXTREME_CI_ONLY,ci_only,very_low_eta_ci_only_gep_required,1
0.55,0.1,True,VLOW_EXTREME_CI_ONLY,ci_only,very_low_eta_ci_only_gep_required,1
0.55,0.125,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.55,0.15,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.55,0.175,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.55,0.2,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.55,0.225,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.55,0.25,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,2
0.55,0.275,True,LOW,validated,standard_eta_low,1
0.55,0.3,True,LOW,validated,standard_eta_low,1
0.55,0.325,True,LOW,validated,standard_eta_low,1
0.55,0.35,True,MID,validated,standard_eta_mid,2
0.55,0.375,True,MID,validated,standard_eta_mid,2
0.55,0.4,True,MID,validated,standard_eta_mid,2
0.55,0.425,True,MID,validated,standard_eta_mid,1
0.55,0.45,True,MID,validated,standard_eta_mid,1
0.55,0.475,True,MID,validated,standard_eta_mid,1
0.55,0.5,True,MID,validated,standard_eta_mid,2
0.55,0.525,True,MID,validated,standard_eta_mid,2
0.55,0.55,True,MID,validated,standard_eta_mid,2
0.55,0.575,True,HIGH_HIM,validated_with_overlap_rule,high_eta_mid_high_mach,1
0.55,0.6,True,HIGH_HIM,validated_with_overlap_rule,high_eta_mid_high_mach,1
0.55,0.625,True,HIGH_HIM,validated_with_overlap_rule,high_eta_mid_high_mach,1
0.55,0.65,True,NEUTRAL1_HIM,validated,near_neutral_mid_high_mach,2
0.55,0.675,True,NEUTRAL1_HIM,validated,near_neutral_mid_high_mach,1
0.55,0.7,True,NEUTRAL1_HIM,validated,near_neutral_mid_high_mach,1
0.55,0.725,True,NEUTRAL1_HIM,validated,near_neutral_mid_high_mach,1
0.55,0.75,True,NEUTRAL1_HIM,validated,near_neutral_mid_high_mach,1
0.55,0.775,True,NEUTRAL1_HIM,validated,near_neutral_mid_high_mach,1
0.55,0.8,True,NEUTRAL2_HIM,validated,nearer_neutral_mid_high_mach,2
0.55,0.825,True,NEUTRAL2_HIM,validated,nearer_neutral_mid_high_mach,1
0.55,0.85,True,NEUTRAL2_HIM,validated,nearer_neutral_mid_high_mach,1
0.55,0.875,True,NEUTRAL2_HIM,validated,nearer_neutral_mid_high_mach,1
0.55,0.9,True,NEUTRAL2_HIM,validated,nearer_neutral_mid_high_mach,1
0.55,0.925,True,NEUTRAL3_HIM,validated,near_neutral_limit_mid_high_mach,1
0.55,0.95,True,NEUTRAL3_HIM,validated,near_neutral_limit_mid_high_mach,1
0.55,0.975,True,NEUTRAL3_HIM,validated,near_neutral_limit_mid_high_mach,1
0.6,0.05,True,VLOW_EXTREME_CI_ONLY,ci_only,very_low_eta_ci_only_gep_required,1
0.6,0.075,True,VLOW_EXTREME_CI_ONLY,ci_only,very_low_eta_ci_only_gep_required,1
0.6,0.1,True,VLOW_EXTREME_CI_ONLY,ci_only,very_low_eta_ci_only_gep_required,1
0.6,0.125,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.6,0.15,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.6,0.175,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.6,0.2,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.6,0.225,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.6,0.25,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,2
0.6,0.275,True,LOW,validated,standard_eta_low,1
0.6,0.3,True,LOW,validated,standard_eta_low,1
0.6,0.325,True,LOW,validated,standard_eta_low,1
0.6,0.35,True,MID,validated,standard_eta_mid,2
0.6,0.375,True,MID,validated,standard_eta_mid,2
0.6,0.4,True,MID,validated,standard_eta_mid,2
0.6,0.425,True,MID,validated,standard_eta_mid,1
0.6,0.45,True,MID,validated,standard_eta_mid,1
0.6,0.475,True,MID,validated,standard_eta_mid,1
0.6,0.5,True,MID,validated,standard_eta_mid,2
0.6,0.525,True,MID,validated,standard_eta_mid,2
0.6,0.55,True,MID,validated,standard_eta_mid,2
0.6,0.575,True,HIGH_HIM,validated_with_overlap_rule,high_eta_mid_high_mach,1
0.6,0.6,True,HIGH_HIM,validated_with_overlap_rule,high_eta_mid_high_mach,1
0.6,0.625,True,HIGH_HIM,validated_with_overlap_rule,high_eta_mid_high_mach,1
0.6,0.65,True,NEUTRAL1_HIM,validated,near_neutral_mid_high_mach,2
0.6,0.675,True,NEUTRAL1_HIM,validated,near_neutral_mid_high_mach,1
0.6,0.7,True,NEUTRAL1_HIM,validated,near_neutral_mid_high_mach,1
0.6,0.725,True,NEUTRAL1_HIM,validated,near_neutral_mid_high_mach,1
0.6,0.75,True,NEUTRAL1_HIM,validated,near_neutral_mid_high_mach,1
0.6,0.775,True,NEUTRAL1_HIM,validated,near_neutral_mid_high_mach,1
0.6,0.8,True,NEUTRAL2_HIM,validated,nearer_neutral_mid_high_mach,2
0.6,0.825,True,NEUTRAL2_HIM,validated,nearer_neutral_mid_high_mach,1
0.6,0.85,True,NEUTRAL2_HIM,validated,nearer_neutral_mid_high_mach,1
0.6,0.875,True,NEUTRAL2_HIM,validated,nearer_neutral_mid_high_mach,1
